id,town,rate2040,rate2013
6202,米沢市,26.32 ,10.53 
6203,鶴岡市,30.00 ,12.50 
6204,酒田市,18.52 ,7.41 
6205,新庄市,22.22 ,11.11 
6206,寒河江市,10.00 ,10.00 
6207,上山市,33.33 ,0.00 
6208,村山市,28.57 ,0.00 
6209,長井市,0.00 ,0.00 
6210,天童市,0.00 ,0.00 
6211,東根市,0.00 ,0.00 
6212,尾花沢市,80.00 ,30.00 
6213,南陽市,14.29 ,14.29 
6301,東村山郡山辺町,25.00 ,25.00 
6302,東村山郡中山町,0.00 ,0.00 
6321,西村山郡河北町,16.67 ,0.00 
6322,西村山郡西川町,0.00 ,0.00 
6323,西村山郡朝日町,0.00 ,0.00 
6324,西村山郡大江町,33.33 ,33.33 
6341,北村山郡大石田町,0.00 ,0.00 
6361,最上郡金山町,75.00 ,25.00 
6362,最上郡最上町,66.67 ,50.00 
6363,最上郡舟形町,0.00 ,0.00 
6364,最上郡真室川町,33.33 ,0.00 
6365,最上郡大蔵村,0.00 ,0.00 
6366,最上郡鮭川村,0.00 ,0.00 
6367,最上郡戸沢村,0.00 ,0.00 
6381,東置賜郡高畠町,16.67 ,0.00 
6382,東置賜郡川西町,37.50 ,12.50 
6401,西置賜郡小国町,66.67 ,66.67 
6402,西置賜郡白鷹町,20.00 ,0.00 
6403,西置賜郡飯豊町,25.00 ,0.00 
6426,東田川郡三川町,0.00 ,0.00 
6428,東田川郡庄内町,0.00 ,0.00 
6461,飽海郡遊佐町,16.67 ,0.00 
7470,福島県,,
8201,水戸市,0.00 ,0.00 
8202,日立市,12.00 ,4.00 
8203,土浦市,5.00 ,0.00 
8204,古河市,0.00 ,0.00 
8205,石岡市,10.53 ,0.00 
8207,結城市,0.00 ,0.00 
8208,龍ケ崎市,0.00 ,0.00 
8210,下妻市,10.00 ,0.00 
8211,常総市,0.00 ,0.00 
8212,常陸太田市,14.29 ,0.00 
8214,高萩市,20.00 ,20.00 
8215,北茨城市,25.00 ,8.33 
8216,笠間市,7.14 ,0.00 
8217,取手市,0.00 ,0.00 
8219,牛久市,0.00 ,0.00 
8220,つくば市,0.00 ,0.00 
8221,ひたちなか市,5.00 ,0.00 
8222,鹿嶋市,0.00 ,0.00 
8223,潮来市,0.00 ,0.00 
8224,守谷市,0.00 ,0.00 
8225,常陸大宮市,0.00 ,0.00 
8226,那珂市,9.09 ,0.00 
8227,筑西市,0.00 ,0.00 
8228,坂東市,7.69 ,0.00 
8229,稲敷市,13.33 ,0.00 
8230,かすみがうら市,7.69 ,0.00 
8231,桜川市,9.09 ,0.00 
8232,神栖市,0.00 ,0.00 
8233,行方市,9.09 ,0.00 
8234,鉾田市,5.00 ,0.00 
8235,つくばみらい市,0.00 ,0.00 
8236,小美玉市,0.00 ,0.00 
8302,東茨城郡茨城町,0.00 ,0.00 
8309,東茨城郡大洗町,0.00 ,0.00 
8310,東茨城郡城里町,0.00 ,0.00 
8341,那珂郡東海村,0.00 ,0.00 
8364,久慈郡大子町,85.71 ,0.00 
8442,稲敷郡美浦村,0.00 ,0.00 
8443,稲敷郡阿見町,0.00 ,0.00 
8447,稲敷郡河内町,0.00 ,0.00 
8521,結城郡八千代町,0.00 ,0.00 
8542,猿島郡五霞町,0.00 ,0.00 
8546,猿島郡境町,0.00 ,0.00 
8564,北相馬郡利根町,0.00 ,0.00 
9201,宇都宮市,0.00 ,0.00 
9202,足利市,0.00 ,0.00 
9203,栃木市,9.68 ,6.45 
9204,佐野市,14.81 ,3.70 
9205,鹿沼市,25.93 ,18.52 
9206,日光市,38.46 ,23.08 
9208,小山市,3.70 ,0.00 
9209,真岡市,0.00 ,0.00 
9210,大田原市,14.29 ,4.76 
9211,矢板市,11.11 ,11.11 
9213,那須塩原市,8.00 ,4.00 
9214,さくら市,0.00 ,0.00 
9215,那須烏山市,0.00 ,0.00 
9216,下野市,8.33 ,8.33 
9301,河内郡上三川町,0.00 ,0.00 
9342,芳賀郡益子町,0.00 ,0.00 
9343,芳賀郡茂木町,0.00 ,0.00 
9344,芳賀郡市貝町,0.00 ,0.00 
9345,芳賀郡芳賀町,0.00 ,0.00 
9361,下都賀郡壬生町,25.00 ,0.00 
9364,下都賀郡野木町,0.00 ,0.00 
9384,塩谷郡塩谷町,0.00 ,0.00 
9386,塩谷郡高根沢町,0.00 ,0.00 
9407,那須郡那須町,23.08 ,15.38 
9411,那須郡那珂川町,50.00 ,0.00 
10201,前橋市,4.00 ,4.00 
10202,高崎市,0.00 ,0.00 
10203,桐生市,5.88 ,0.00 
10204,伊勢崎市,4.17 ,4.17 
10205,太田市,0.00 ,0.00 
10206,沼田市,7.69 ,0.00 
10207,館林市,0.00 ,0.00 
10208,渋川市,17.65 ,0.00 
10209,藤岡市,9.09 ,0.00 
10210,富岡市,0.00 ,0.00 
10211,安中市,8.33 ,0.00 
10212,みどり市,0.00 ,0.00 
10344,北群馬郡榛東村,0.00 ,0.00 
10345,北群馬郡吉岡町,0.00 ,0.00 
10366,多野郡上野村,0.00 ,0.00 
10367,多野郡神流町,100.00 ,0.00 
10382,甘楽郡下仁田町,0.00 ,0.00 
10383,甘楽郡南牧村,100.00 ,0.00 
10384,甘楽郡甘楽町,0.00 ,0.00 
10421,吾妻郡中之条町,0.00 ,0.00 
10424,吾妻郡長野原町,50.00 ,25.00 
10425,吾妻郡嬬恋村,50.00 ,0.00 
10426,吾妻郡草津町,0.00 ,0.00 
10428,吾妻郡高山村,0.00 ,0.00 
10429,吾妻郡東吾妻町,0.00 ,0.00 
10443,利根郡片品村,75.00 ,25.00 
10444,利根郡川場村,0.00 ,0.00 
10448,利根郡昭和村,0.00 ,0.00 
10449,利根郡みなかみ町,33.33 ,16.67 
10464,佐波郡玉村町,0.00 ,0.00 
10521,邑楽郡板倉町,0.00 ,0.00 
10522,邑楽郡明和町,0.00 ,0.00 
10523,邑楽郡千代田町,0.00 ,0.00 
10524,邑楽郡大泉町,0.00 ,0.00 
10525,邑楽郡邑楽町,0.00 ,0.00 
11103,さいたま市,0.00 ,0.00 
11201,川越市,0.00 ,0.00 
11202,熊谷市,0.00 ,0.00 
11203,川口市,0.00 ,0.00 
11206,行田市,6.25 ,0.00 
11207,秩父市,14.29 ,7.14 
11208,所沢市,0.00 ,0.00 
11209,飯能市,14.29 ,0.00 
11210,加須市,0.00 ,0.00 
11211,本庄市,0.00 ,0.00 
11212,東松山市,0.00 ,0.00 
11214,春日部市,0.00 ,0.00 
11215,狭山市,0.00 ,0.00 
11216,羽生市,0.00 ,0.00 
11217,鴻巣市,0.00 ,0.00 
11218,深谷市,0.00 ,0.00 
11219,上尾市,0.00 ,0.00 
11221,草加市,0.00 ,0.00 
11222,越谷市,0.00 ,0.00 
11223,蕨市,0.00 ,0.00 
11224,戸田市,0.00 ,0.00 
11225,入間市,0.00 ,0.00 
11227,朝霞市,0.00 ,0.00 
11228,志木市,0.00 ,0.00 
11229,和光市,0.00 ,0.00 
11230,新座市,0.00 ,0.00 
11231,桶川市,0.00 ,0.00 
11232,久喜市,0.00 ,0.00 
11233,北本市,0.00 ,0.00 
11234,八潮市,0.00 ,0.00 
11235,富士見市,0.00 ,0.00 
11237,三郷市,0.00 ,0.00 
11238,蓮田市,0.00 ,0.00 
11239,坂戸市,0.00 ,0.00 
11240,幸手市,0.00 ,0.00 
11241,鶴ヶ島市,0.00 ,0.00 
11242,日高市,0.00 ,0.00 
11243,吉川市,0.00 ,0.00 
11245,ふじみ野市,0.00 ,0.00 
11246,白岡市,0.00 ,0.00 
11301,北足立郡伊奈町,0.00 ,0.00 
11324,入間郡三芳町,0.00 ,0.00 
11326,入間郡毛呂山町,0.00 ,0.00 
11327,入間郡越生町,0.00 ,0.00 
11341,比企郡滑川町,0.00 ,0.00 
11342,比企郡嵐山町,0.00 ,0.00 
11343,比企郡小川町,0.00 ,0.00 
11346,比企郡川島町,0.00 ,0.00 
11347,比企郡吉見町,16.67 ,0.00 
11348,比企郡鳩山町,0.00 ,0.00 
11349,比企郡ときがわ町,33.33 ,0.00 
11361,秩父郡横瀬町,0.00 ,0.00 
11362,秩父郡皆野町,33.33 ,0.00 
11363,秩父郡長瀞町,0.00 ,0.00 
11365,秩父郡小鹿野町,0.00 ,0.00 
11369,秩父郡東秩父村,0.00 ,0.00 
11381,児玉郡美里町,0.00 ,0.00 
11383,児玉郡神川町,25.00 ,25.00 
11385,児玉郡上里町,0.00 ,0.00 
11408,大里郡寄居町,0.00 ,0.00 
11442,南埼玉郡宮代町,0.00 ,0.00 
11464,北葛飾郡杉戸町,0.00 ,0.00 
11465,北葛飾郡松伏町,0.00 ,0.00 
12114,千葉市,0.88 ,0.88 
12202,銚子市,15.38 ,7.69 
12203,市川市,0.00 ,0.00 
12204,船橋市,0.00 ,0.00 
12205,館山市,10.00 ,10.00 
